,Trial Number,Stim Peak,Stim Slope Threshold,Matched Preset,Stim Spikes,Time Intervals
0,0,-0.5,0.2,[],0,[]
1,0,-0.5,0.25,[],0,[]
2,0,-0.5,0.30000000000000004,[],0,[]
3,0,-0.5,0.35000000000000003,[],0,[]
4,0,-0.5,0.4,[],0,[]
5,0,-0.45,0.2,[],0,[]
6,0,-0.45,0.25,[],0,[]
7,0,-0.45,0.30000000000000004,[],0,[]
8,0,-0.45,0.35000000000000003,[],0,[]
9,0,-0.45,0.4,[],0,[]
10,0,-0.4,0.2,[],0,[]
11,0,-0.4,0.25,[],0,[]
12,0,-0.4,0.30000000000000004,[],0,[]
13,0,-0.4,0.35000000000000003,[],0,[]
14,0,-0.4,0.4,[],0,[]
15,0,-0.35,0.2,[],0,[]
16,0,-0.35,0.25,[],0,[]
17,0,-0.35,0.30000000000000004,[],0,[]
18,0,-0.35,0.35000000000000003,[],0,[]
19,0,-0.35,0.4,[],0,[]
20,0,-0.3,0.2,[],0,[]
21,0,-0.3,0.25,[],0,[]
22,0,-0.3,0.30000000000000004,[],0,[]
23,0,-0.3,0.35000000000000003,[],0,[]
24,0,-0.3,0.4,[],0,[]
25,1,-0.5,0.2,[],0,[]
26,1,-0.5,0.25,[],0,[]
27,1,-0.5,0.30000000000000004,[],0,[]
28,1,-0.5,0.35000000000000003,[],0,[]
29,1,-0.5,0.4,[],0,[]
30,1,-0.45,0.2,[],0,[]
31,1,-0.45,0.25,[],0,[]
32,1,-0.45,0.30000000000000004,[],0,[]
33,1,-0.45,0.35000000000000003,[],0,[]
34,1,-0.45,0.4,[],0,[]
35,1,-0.4,0.2,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",13,"[1.001, 1.021, 1.041, 1.241, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
36,1,-0.4,0.25,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",13,"[1.001, 1.021, 1.041, 1.241, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
37,1,-0.4,0.30000000000000004,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",13,"[1.001, 1.021, 1.041, 1.241, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
38,1,-0.4,0.35000000000000003,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",13,"[1.001, 1.021, 1.041, 1.241, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
39,1,-0.4,0.4,[],0,[]
40,1,-0.35,0.2,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",15,"[1.001, 1.021, 1.041, 1.241, 1.261, 1.281, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
41,1,-0.35,0.25,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",15,"[1.001, 1.021, 1.041, 1.241, 1.261, 1.281, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
42,1,-0.35,0.30000000000000004,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",15,"[1.001, 1.021, 1.041, 1.241, 1.261, 1.281, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
43,1,-0.35,0.35000000000000003,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",15,"[1.001, 1.021, 1.041, 1.241, 1.261, 1.281, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
44,1,-0.35,0.4,[],0,[]
45,1,-0.3,0.2,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",15,"[1.001, 1.021, 1.041, 1.241, 1.261, 1.281, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
46,1,-0.3,0.25,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",15,"[1.001, 1.021, 1.041, 1.241, 1.261, 1.281, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
47,1,-0.3,0.30000000000000004,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",15,"[1.001, 1.021, 1.041, 1.241, 1.261, 1.281, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
48,1,-0.3,0.35000000000000003,"[1.005, 1.025, 1.045, 1.245, 1.265, 1.285, 1.485, 1.505, 1.525, 1.725, 1.745, 1.765, 1.965, 1.985, 2.005]",15,"[1.001, 1.021, 1.041, 1.241, 1.261, 1.281, 1.481, 1.501, 1.521, 1.721, 1.741, 1.761, 1.961, 1.981, 2.001]"
49,1,-0.3,0.4,[],0,[]
50,2,-0.5,0.2,[],0,[]
51,2,-0.5,0.25,[],0,[]
52,2,-0.5,0.30000000000000004,[],0,[]
53,2,-0.5,0.35000000000000003,[],0,[]
54,2,-0.5,0.4,[],0,[]
55,2,-0.45,0.2,[],0,[]
56,2,-0.45,0.25,[],0,[]
57,2,-0.45,0.30000000000000004,[],0,[]
58,2,-0.45,0.35000000000000003,[],0,[]
59,2,-0.45,0.4,[],0,[]
60,2,-0.4,0.2,[],0,[]
61,2,-0.4,0.25,[],0,[]
62,2,-0.4,0.30000000000000004,[],0,[]
63,2,-0.4,0.35000000000000003,[],0,[]
64,2,-0.4,0.4,[],0,[]
65,2,-0.35,0.2,[],0,[]
66,2,-0.35,0.25,[],0,[]
67,2,-0.35,0.30000000000000004,[],0,[]
68,2,-0.35,0.35000000000000003,[],0,[]
69,2,-0.35,0.4,[],0,[]
70,2,-0.3,0.2,[],0,[]
71,2,-0.3,0.25,[],0,[]
72,2,-0.3,0.30000000000000004,[],0,[]
73,2,-0.3,0.35000000000000003,[],0,[]
74,2,-0.3,0.4,[],0,[]
75,3,-0.5,0.2,[],0,[]
76,3,-0.5,0.25,[],0,[]
77,3,-0.5,0.30000000000000004,[],0,[]
78,3,-0.5,0.35000000000000003,[],0,[]
79,3,-0.5,0.4,[],0,[]
80,3,-0.45,0.2,[],0,[]
81,3,-0.45,0.25,[],0,[]
82,3,-0.45,0.30000000000000004,[],0,[]
83,3,-0.45,0.35000000000000003,[],0,[]
84,3,-0.45,0.4,[],0,[]
85,3,-0.4,0.2,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",9,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.411, 1.461]"
86,3,-0.4,0.25,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",9,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.411, 1.461]"
87,3,-0.4,0.30000000000000004,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",9,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.411, 1.461]"
88,3,-0.4,0.35000000000000003,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",9,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.411, 1.461]"
89,3,-0.4,0.4,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",3,"[1.061, 1.111, 1.411]"
90,3,-0.35,0.2,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",10,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.361, 1.411, 1.461]"
91,3,-0.35,0.25,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",10,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.361, 1.411, 1.461]"
92,3,-0.35,0.30000000000000004,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",10,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.361, 1.411, 1.461]"
93,3,-0.35,0.35000000000000003,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",10,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.361, 1.411, 1.461]"
94,3,-0.35,0.4,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",3,"[1.061, 1.111, 1.411]"
95,3,-0.3,0.2,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",10,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.361, 1.411, 1.461]"
96,3,-0.3,0.25,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",10,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.361, 1.411, 1.461]"
97,3,-0.3,0.30000000000000004,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",10,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.361, 1.411, 1.461]"
98,3,-0.3,0.35000000000000003,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",10,"[1.011, 1.061, 1.111, 1.161, 1.211, 1.261, 1.311, 1.361, 1.411, 1.461]"
99,3,-0.3,0.4,"[1.005, 1.055, 1.105, 1.155, 1.205, 1.255, 1.305, 1.355, 1.405, 1.455]",3,"[1.061, 1.111, 1.411]"
